selective b 
=========================================================================
                          Station B                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "selective-B.log", TCP port 59144, debug mask 0x00
Station B is connecting station A (TCP port 59144) ... Done.
New epoch: Tue May 17 18:52:55 2016
=========================================================================
Designed by Yuan Yukun, based on Teacher Jiang's code.
Build: May 17 2016  18:50:34
2.582 .... 8 packets received, 7710 bps, 96.38%, Err 0 (0.0e+000)
4.692 .... 12 packets received, 5803 bps, 72.54%, Err 1 (2.8e-005)
6.786 .... 23 packets received, 7443 bps, 93.03%, Err 1 (1.9e-005)
8.926 .... 31 packets received, 7497 bps, 93.71%, Err 1 (1.4e-005)
11.036 .... 39 packets received, 7550 bps, 94.38%, Err 1 (1.2e-005)
13.145 .... 47 packets received, 7586 bps, 94.83%, Err 1 (9.7e-006)
15.239 .... 55 packets received, 7620 bps, 95.25%, Err 1 (8.3e-006)
23.692 .... 63 packets received, 5553 bps, 69.41%, Err 3 (1.7e-005)
25.817 .... 82 packets received, 6622 bps, 82.78%, Err 3 (1.5e-005)
27.942 .... 90 packets received, 6706 bps, 83.83%, Err 3 (1.4e-005)
30.302 .... 95 packets received, 6519 bps, 81.49%, Err 5 (2.1e-005)
32.411 .... 105 packets received, 6730 bps, 84.12%, Err 5 (2.0e-005)
34.536 .... 113 packets received, 6791 bps, 84.89%, Err 5 (1.9e-005)
36.645 .... 121 packets received, 6848 bps, 85.60%, Err 6 (2.1e-005)
38.755 .... 129 packets received, 6898 bps, 86.23%, Err 6 (2.0e-005)
40.864 .... 137 packets received, 6944 bps, 86.80%, Err 6 (1.9e-005)
42.974 .... 145 packets received, 6985 bps, 87.31%, Err 6 (1.8e-005)
45.864 .... 152 packets received, 6856 bps, 85.70%, Err 7 (2.0e-005)
48.255 .... 159 packets received, 6813 bps, 85.16%, Err 8 (2.1e-005)
50.380 .... 171 packets received, 7015 bps, 87.69%, Err 8 (2.0e-005)
52.489 .... 179 packets received, 7046 bps, 88.07%, Err 8 (2.0e-005)
54.599 .... 187 packets received, 7074 bps, 88.42%, Err 8 (1.9e-005)
56.724 .... 195 packets received, 7098 bps, 88.72%, Err 8 (1.8e-005)
58.818 .... 203 packets received, 7124 bps, 89.05%, Err 8 (1.7e-005)
